"time","billboard","tree","lake","house","sign","type","tree_PC1","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","Type","Slope"
5.5,0,-0.857719672370717,0,0,0,"flat0",-0.686420891116131,-1.07186490078896,-0.339418093752227,-0.718380065704211,0.629658485104163,-0.59050804103572,-0.58755240640936,-0.567082427087702,-0.320780179492601,-0.381197905031442,"flatagr",NA
6,0,-0.857719672370717,0,0,0,"flat0",-0.681757488786752,-0.811468724952811,-0.346590839322869,-0.665777823510836,0.606056706243608,-0.55587063685243,-0.530218978605673,-0.549464236594131,-0.152295648807905,-0.370414479465669,"flatagr",NA
6.5,0,-0.814561380481931,0,0,0,"flat0",-0.656657197035027,-0.911498982749429,-0.338703998164755,-0.59596449296209,0.589113149988227,-0.552152598360071,-0.505226345190592,-0.543114478965715,-0.25261066848265,-0.363135667632695,"flatagr",NA
7,0,-0.651176418331525,0,0,0,"flat0",-0.564649029084667,-0.79638469557179,-0.343059589900802,-0.545045515694691,0.543527787830562,-0.544214081958856,-0.458661997415401,-0.473388261396497,-0.454967942987055,-0.337794618400973,"flatagr",NA
7.5,0,-0.478543250776378,0,0,0,"flat0",-0.468483331136297,-0.425320072602431,-0.370908648939917,-0.492139047707667,0.504468639525239,-0.474654238024447,-0.317113439695654,-0.400104559664504,-0.297181278479158,-0.32728077820004,"flatagr",NA
8,0,-0.413805812943199,0,0,0,"flat0",-0.453173316707872,-0.513441966375642,-0.363894561295551,-0.471635094428147,0.518646834408714,-0.495239189147571,-0.266837716018629,-0.440733621701556,-0.0342190543207255,-0.322697823007876,"flatagr",NA
8.5,0,-0.398392137268632,0,0,0,"flat0",-0.467099534573492,-0.497722925864745,-0.373988499507392,-0.457533348447261,0.527910101931572,-0.466291528782569,-0.285655200615342,-0.450246994002412,-0.250913348140536,-0.319462794639918,"flatagr",NA
9,0,-0.398392137268632,0,0,0,"flat0",-0.49052624701386,-0.54059303634901,-0.362889523702813,-0.538690102990395,0.554750762650199,-0.517228518496035,-0.434916388463154,-0.488222546072597,-0.215522824280749,-0.27929453537994,"flatagr",NA
9.5,0,-0.398392137268632,0,0,0,"flat0",-0.467692060273511,-0.842589147982609,-0.349548158699922,-0.632941301126947,0.570963148522169,-0.557293695734504,-0.447370897280375,-0.513876628939046,-0.124382204577424,-0.248022602136917,"flatagr",NA
10,0,-0.398392137268632,0,0,0,"flat0",-0.528162601535965,-1.09933347632726,-0.321901229380261,-0.705300793795677,0.633921360698941,-0.635019575860001,-0.608012470564035,-0.587010678501893,-0.481957987766527,-0.236700004843994,"flatagr",NA
10.5,0,-0.386061196728979,0,0,0,"flat0",-0.52169020746817,0.503532321223305,-0.31043289324393,-0.662185546299485,0.628130887180276,-0.720008601414089,-0.689189239048817,-0.582155779763042,-0.172882417623792,-0.253683899785911,"flatagr",NA
11,0,-0.376812991324239,0,0,0,"flat0",-0.514504219558871,-0.886729585580742,-0.323470465389444,-0.697287828820105,0.63568395369555,-0.664914994971618,-0.739406454820292,-0.58906836900824,-0.634399554041683,-0.260962712616352,"flatagr",NA
11.5,0,-0.373730256189325,0,0,0,"flat0",-0.499318381658681,-0.94579507113684,-0.31867667780373,-0.710677480498888,0.627777528229911,-0.675358499987011,-0.747038130371068,-0.599003181127366,-0.572071424482413,-0.229151607646179,"flatagr",NA
12,0,-0.373730256189325,0,0,0,"flat0",-0.487775103938314,-0.714137645525812,-0.341829952404341,-0.680066199494917,0.626437319925305,-0.594813627041754,-0.682879950154311,-0.589740730993981,-0.385891084556048,-0.203810557416991,"flatagr",NA
12.5,0,-0.373730256189325,0,0,0,"flat0",-0.480544086519222,-0.823377088976218,-0.354395658311989,-0.648113473453288,0.607682157415288,-0.545735217872935,-0.61193365728076,-0.552278823788216,-0.606126683923202,-0.200305944681658,"flatagr",NA
13,0,-0.373730256189325,0,0,0,"flat0",-0.464019209217043,-0.486767230963211,-0.352289706524398,-0.656558374469555,0.582360951012498,-0.556177747996035,-0.629440094261566,-0.512949321878055,-0.432905592236361,-0.209741441428294,"flatagr",NA
13.5,0,-0.339820169705279,0,0,0,"flat0",-0.449254072304765,-0.613789882164257,-0.356297213191956,-0.648105430632388,0.550988653974908,-0.533598677626235,-0.601626469590336,-0.437947194861878,-0.539294266602483,-0.186287491745393,"flatagr",NA
14,0,-0.336737434570365,0,0,0,"flat0",-0.456287948584879,-0.559328913221523,-0.345463592710473,-0.559352658260877,0.540149641611421,-0.561065006356015,-0.556619504297725,-0.426838873726074,-0.516918868208675,-0.15070218767758,"flatagr",NA
14.5,0,-0.336737434570365,0,0,0,"flat0",-0.4469062995434,-0.528525995756664,-0.349215161144534,-0.54367592078388,0.551524984204015,-0.545877434587171,-0.480432414959023,-0.458105127490506,-0.331353398167279,-0.135066220557334,"flatagr",NA
15,0,-0.336737434570365,0,0,0,"flat0",-0.460325904494628,-0.643957636072181,-0.336512170696947,-0.541475843684511,0.574534878700757,-0.578659954214535,-0.531586451446245,-0.497012009529453,-0.529875831697026,-0.118621497342566,"flatagr",NA
15.5,0,-0.336737434570365,0,0,0,"flat0",-0.452952253534423,-0.649832479799416,-0.361116480614714,-0.47343595514458,0.557442506671674,-0.50040865588773,-0.417131836448126,-0.44363869750114,-0.368184916796193,-0.108107657141634,"flatagr",NA
16,0,-0.336737434570365,0,0,0,"flat0",-0.447147694384201,-0.780665655060892,-0.365751171445954,-0.493548734862063,0.558343696531663,-0.496241863003584,-0.402824975826217,-0.450928045468944,-0.350864313653202,-0.0992113321221466,"flatagr",NA
16.5,0,-0.336737434570365,0,0,0,"flat0",-0.432696644574487,-0.444055949474944,-0.358173056010268,-0.515842459514044,0.538573918429321,-0.513651225777482,-0.46401826696507,-0.429569623522177,-0.39981169878698,-0.0994809174869873,"flatagr",NA
17,0,-0.336737434570365,0,0,0,"flat0",-0.430271685363658,-0.348153873730754,-0.362085467789546,-0.459063799776105,0.530630153654432,-0.497785361226467,-0.431962182766817,-0.403909264919605,-0.314391354029205,-0.100289674578977,"flatagr",NA
17.5,0,-0.333654699435452,0,0,0,"flat0",-0.396684630902399,-0.633160770166646,-0.361547257269623,-0.405248858609962,0.498513951016584,-0.488838648491131,-0.388408774457946,-0.372025092521286,-0.426163489877674,-0.0973242325733263,"flatagr",NA
18,0,-0.333654699435452,0,0,0,"flat0",-0.373126248470763,-0.547103043633179,-0.373617224140285,-0.375528015368541,0.473451629047364,-0.460054807306646,-0.364043760783801,-0.359155113252436,-0.363917214651447,-0.0994809174869873,"flatagr",NA
18.5,0,-0.333654699435452,0,0,0,"flat0",-0.360408893209943,-0.169528413379652,-0.361683135378814,-0.44113428035065,0.468777003099821,-0.490714209365658,-0.449107776000545,-0.373501446035094,-0.243457984667075,-0.0868103923723932,"flatagr",NA
19,0,-0.330571964300539,0,0,0,"flat0",-0.354374282510872,-0.656183658087585,-0.372659590895535,-0.417920322940506,0.466318131614928,-0.453047252831303,-0.448485015848335,-0.380244751321219,-0.309521902789183,-0.0463725477475758,"flatagr",NA
19.5,0,-0.327489229165626,0,0,0,"flat0",-0.359839055812118,-0.35514021557586,-0.366814978219326,-0.397960844263844,0.44855263406832,-0.473604623104526,-0.387626419241029,-0.352413524406962,-0.339315895590143,-0.0307365806273298,"flatagr",NA
20,0,-0.324406494030712,0,0,0,"flat0",-0.346255229582378,-0.265430489123842,-0.379385242488956,-0.455794332149126,0.432780306250504,-0.429810947352861,-0.413524825999432,-0.304016495654697,-0.15398665853504,0.00889250790296442,"flatagr",NA
20.5,0,-0.321323758895799,0,0,0,"flat0",-0.341273999432933,0.772502519156302,-0.368617649024918,-0.324969015266953,0.405827822530913,-0.473292064033401,-0.359076875422941,-0.27668512844089,0.105169831350194,0.0202151041984208,"flatagr",NA
21,0,-0.312075553491059,0,0,0,"flat0",-0.333912446094024,-0.931028699747816,-0.398939900724946,-0.518068432059498,0.399802353939526,-0.391517975201881,-0.504205407308067,-0.268775769927159,-0.534365279595546,0.0358510713186656,"flatagr",NA
21.5,0,-0.293579142681579,0,0,0,"flat0",-0.297068376225851,-0.892445600311978,-0.394864584470739,-0.59243692390072,0.415508168405421,-0.392398896479821,-0.619222616121773,-0.315846580083693,-0.569529150261745,0.0301897726722048,"flatagr",NA
22,0,-0.290496407546666,0,0,0,"flat0",-0.295938563556106,-0.569014433436247,-0.402408881243356,-0.553607220405417,0.411749416802597,-0.365619978642483,-0.544112195663301,-0.294599404946532,-0.258745982069846,0.0401644411459888,"flatagr",NA
