"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
5.5,0,-1.2610341469994,0,0,0,"flat0",-1.17546226115612,-0.733167287429302,-0.33189564437585,1.15511248834643,-0.916477667775598,-0.0876007838910041,-1.32251989842007,-1.44748939393034,-1.07800417208363,"F",0.917421194337912,0.205089427059725
6,0,-1.2610341469994,0,0,0,"flat0",-1.00263781206654,-0.738396148904419,-0.289322263352535,1.13636916812342,-0.881201824581457,-0.0439279808448217,-1.30654117315541,-1.36383502409101,-1.06639298681015,"F",0.894857496290232,0.205089427059725
6.5,0,-1.22463011266285,0,0,0,"flat0",-1.06902770485385,-0.732646718719578,-0.232819167704406,1.12291346622537,-0.877415254948461,-0.0248902501778248,-1.30078229384946,-1.41364250328336,-1.05855543720702,"F",0.879050484081481,0.205089427059725
7,0,-1.08681483981737,0,0,0,"flat0",-0.992626570313637,-0.735821902560362,-0.191608129350694,1.08671191356058,-0.869330415268168,0.0105793818895793,-1.23754446731506,-1.51411505237897,-1.03126915272727,"F",0.858809098672596,0.205089427059725
7.5,0,-0.941198702471193,0,0,0,"flat0",-0.746351682307348,-0.756123594638206,-0.148788524590708,1.05569314465125,-0.798488439516909,0.11840168590274,-1.17108019921782,-1.4357722874093,-1.01994824679027,"F",0.857633610066935,0.205089427059725
8,0,-0.886592650966377,0,0,0,"flat0",-0.804838016429509,-0.75101039324196,-0.132193744994732,1.06695273861894,-0.819452813871749,0.156698398000074,-1.20792851348073,-1.30520873321162,-1.01501349377402,"F",0.85709842501578,0.205089427059725
8.5,0,-0.873591210131897,0,0,0,"flat0",-0.794405318991503,-0.758368775625428,-0.120780562215731,1.07430914978262,-0.789971588244404,0.142364486177624,-1.21655661648548,-1.41279976559665,-1.01153013744015,"F",0.867008869410453,0.205089427059725
9,0,-0.873591210131897,0,0,0,"flat0",-0.822858130186067,-0.75027773065161,-0.186464405521855,1.09562462357884,-0.841847452047753,0.0286672120213138,-1.25099834383113,-1.39522799233211,-0.968278473343627,"F",0.898909599836239,0.205089427059725
9.5,0,-0.873591210131897,0,0,0,"flat0",-1.02329237793445,-0.740552005850409,-0.262746176086317,1.10849966752247,-0.8826511133825,0.0191801931660333,-1.27426517944569,-1.34997570075933,-0.934606037017171,"F",0.963666742358504,0.205089427059725
10,0,-0.873591210131897,0,0,0,"flat0",-1.19369310275523,-0.720397664364137,-0.321309996250385,1.15849784513736,-0.961809642264306,-0.103185903887649,-1.34059372129471,-1.52751589801617,-0.922414291996703,"F",0.965558995984874,0.205089427059725
10.5,0,-0.863190057464313,0,0,0,"flat0",-0.129874106425113,-0.712037359315482,-0.286414870433846,1.15389934855605,-1.04836519136967,-0.165020982615201,-1.33619059640148,-1.3740565747896,-0.940701908453371,"F",0.953584272851786,0.205089427059725
11,0,-0.855389192963625,0,0,0,"flat0",-1.05258830283033,-0.721541622090363,-0.314824740169904,1.15989760594156,-0.992256095792521,-0.203273127270231,-1.34245993288395,-1.60320476459783,-0.948539459130538,"F",0.944209013508268,0.205089427059725
11.5,0,-0.852788904796729,0,0,0,"flat0",-1.09178995380951,-0.7180469977544,-0.325661592724491,1.15361872903159,-1.00289209620903,-0.209086431585169,-1.35147025851674,-1.57225818225965,-0.914286463057093,"F",0.93355313952036,0.205089427059725
